seconds,pid,gpu_memory_mib
4.927,217843,106.0
5.179,217843,104.0
5.431,217843,104.0
5.682,217843,246.0
5.933,217843,630.0
6.184,217843,1142.0
6.435,217843,2166.0
6.687,217843,2186.0
6.939,217843,208.0
7.192,217843,208.0
7.443,217843,208.0
7.693,217843,208.0
7.944,217843,208.0
8.196,217843,208.0
8.449,217843,208.0
8.7,217843,278.0
8.951,217843,726.0
9.202,217843,1238.0
9.453,217843,2276.0
9.704,217843,2276.0
9.956,217843,2796.0
10.207,217843,3846.0
10.458,217843,3846.0
10.709,217843,3846.0
10.962,217843,3912.0
11.214,217843,7520.0
11.465,217843,7526.0
11.716,217843,9574.0
11.967,217843,9574.0
12.218,217843,9574.0
12.469,217843,9574.0
12.719,217843,9574.0
12.97,217843,9574.0
13.221,217843,9574.0
13.472,217843,9574.0
13.723,217843,9574.0
13.974,217843,9574.0
14.225,217843,9574.0
14.476,217843,9574.0
14.726,217843,9574.0
14.977,217843,9574.0
15.228,217843,9574.0
15.479,217843,9574.0
15.73,217843,9574.0
15.981,217843,9574.0
16.231,217843,9574.0
16.482,217843,9574.0
16.733,217843,9574.0
16.984,217843,9574.0
17.235,217843,9574.0
17.485,217843,9574.0
17.736,217843,9574.0
17.987,217843,9574.0
18.238,217843,9574.0
18.489,217843,9574.0
18.739,217843,9574.0
18.99,217843,9574.0
19.241,217843,9574.0
19.492,217843,9574.0
19.743,217843,9574.0
19.993,217843,9574.0
20.244,217843,9574.0
20.495,217843,9574.0
20.746,217843,9574.0
20.996,217843,9574.0
21.247,217843,9574.0
21.498,217843,9574.0
21.749,217843,9574.0
21.999,217843,9574.0
22.25,217843,9574.0
22.503,217843,9574.0
22.754,217843,9574.0
23.005,217843,9574.0
23.255,217843,9574.0
23.507,217843,9574.0
23.757,217843,9574.0
24.008,217843,9574.0
24.259,217843,9574.0
24.51,217843,9574.0
24.76,217843,9574.0
25.012,217843,9574.0
25.263,217843,9574.0
25.514,217843,9574.0
25.765,217843,9574.0
26.015,217843,9574.0
26.266,217843,9574.0
26.517,217843,9574.0
26.768,217843,9574.0
27.019,217843,9574.0
27.27,217843,9574.0
27.52,217843,9574.0
27.771,217843,9574.0
28.022,217843,9574.0
28.273,217843,9574.0
28.523,217843,9574.0
28.774,217843,9574.0
29.025,217843,9574.0
29.276,217843,9574.0
29.527,217843,9574.0
29.778,217843,9574.0
30.029,217843,9574.0
30.28,217843,9574.0
30.53,217843,9574.0
30.781,217843,9574.0
31.032,217843,9574.0
31.283,217843,9574.0
31.534,217843,9574.0
31.785,217843,9574.0
32.036,217843,9574.0
32.286,217843,9574.0
32.537,217843,9574.0
32.788,217843,9574.0
33.039,217843,9574.0
33.29,217843,9574.0
33.54,217843,9574.0
33.791,217843,9574.0
34.042,217843,9574.0
34.294,217843,9574.0
34.544,217843,9574.0
34.795,217843,9574.0
35.046,217843,9574.0
35.297,217843,9574.0
35.548,217843,9574.0
35.799,217843,9574.0
36.05,217843,9574.0
36.301,217843,9574.0
36.552,217843,9574.0
36.802,217843,9574.0
37.053,217843,9574.0
37.304,217843,9574.0
37.555,217843,9574.0
37.806,217843,9574.0
38.056,217843,9574.0
38.307,217843,9574.0
38.558,217843,9574.0
38.809,217843,9574.0
39.06,217843,9574.0
39.311,217843,9574.0
39.562,217843,9574.0
39.813,217843,9574.0
40.064,217843,9574.0
40.315,217843,9574.0
40.566,217843,9574.0
40.817,217843,9574.0
41.067,217843,9574.0
41.318,217843,9574.0
41.569,217843,9574.0
41.821,217843,9574.0
42.072,217843,9574.0
42.323,217843,9574.0
42.574,217843,9574.0
42.825,217843,9574.0
43.076,217843,9574.0
43.326,217843,9574.0
43.577,217843,9574.0
43.828,217843,9574.0
44.079,217843,9574.0
44.329,217843,9574.0
44.58,217843,9574.0
44.831,217843,9574.0
45.082,217843,9574.0
45.333,217843,9574.0
45.583,217843,9574.0
45.834,217843,9574.0
46.085,217843,9574.0
46.337,217843,9574.0
46.588,217843,9574.0
46.838,217843,9574.0
47.089,217843,9574.0
47.34,217843,9574.0
47.591,217843,9574.0
47.842,217843,9574.0
48.093,217843,9574.0
48.343,217843,9574.0
48.595,217843,9574.0
48.846,217843,9574.0
49.097,217843,9574.0
49.348,217843,9574.0
49.598,217843,9574.0
49.849,217843,9574.0
50.1,217843,9574.0
50.351,217843,9574.0
50.602,217843,9574.0
50.853,217843,9574.0
51.104,217843,9574.0
51.355,217843,9574.0
51.606,217843,9574.0
51.856,217843,9574.0
52.107,217843,9574.0
52.358,217843,9574.0
52.609,217843,9574.0
52.862,217843,9574.0
53.112,217843,9574.0
53.363,217843,9574.0
53.614,217843,9574.0
53.865,217843,9574.0
54.116,217843,9574.0
54.366,217843,9574.0
54.617,217843,9574.0
54.868,217843,9574.0
55.121,217843,9574.0
55.372,217843,9574.0
55.623,217843,9574.0
55.874,217843,9574.0
56.124,217843,9574.0
56.375,217843,9574.0
56.626,217843,9574.0
56.877,217843,9574.0
57.128,217843,9574.0
57.38,217843,9574.0
57.631,217843,9574.0
57.882,217843,9574.0
58.133,217843,9574.0
58.383,217843,9574.0
58.634,217843,9574.0
58.885,217843,9574.0
59.136,217843,9574.0
59.387,217843,9574.0
59.639,217843,9574.0
59.89,217843,9574.0
60.141,217843,9574.0
60.392,217843,9574.0
60.643,217843,9574.0
60.893,217843,9574.0
61.144,217843,9574.0
61.395,217843,9574.0
61.646,217843,9574.0
61.897,217843,9574.0
62.148,217843,9574.0
62.399,217843,9574.0
62.649,217843,9574.0
62.9,217843,9574.0
63.151,217843,9574.0
63.402,217843,9574.0
63.653,217843,9574.0
63.904,217843,9574.0
64.155,217843,9574.0
64.405,217843,9574.0
64.656,217843,9574.0
64.907,217843,9574.0
65.158,217843,9574.0
65.408,217843,9574.0
65.659,217843,9574.0
65.91,217843,9574.0
66.161,217843,9574.0
66.414,217843,9574.0
66.665,217843,9574.0
66.916,217843,9574.0
67.166,217843,9574.0
67.417,217843,9574.0
67.668,217843,9574.0
67.919,217843,9574.0
68.17,217843,9574.0
68.421,217843,9574.0
68.672,217843,9574.0
68.923,217843,9574.0
69.174,217843,9574.0
69.425,217843,9574.0
69.676,217843,9574.0
69.929,217843,9574.0
70.179,217843,9574.0
70.43,217843,9574.0
70.681,217843,9574.0
70.932,217843,9574.0
71.183,217843,9574.0
71.433,217843,9574.0
71.684,217843,9574.0
71.937,217843,9574.0
72.188,217843,9574.0
72.439,217843,9574.0
72.69,217843,9574.0
72.941,217843,9574.0
73.192,217843,9574.0
73.442,217843,9574.0
73.693,217843,9574.0
73.944,217843,9574.0
74.195,217843,9574.0
74.445,217843,9574.0
74.696,217843,9574.0
74.947,217843,9574.0
75.198,217843,9574.0
75.449,217843,9574.0
75.7,217843,9574.0
75.951,217843,9574.0
76.201,217843,9574.0
76.452,217843,9574.0
76.703,217843,9574.0
76.954,217843,9574.0
77.205,217843,9574.0
77.455,217843,9574.0
77.706,217843,9574.0
77.957,217843,9574.0
78.208,217843,9574.0
78.458,217843,9574.0
78.71,217843,9574.0
78.961,217843,9574.0
79.212,217843,9574.0
79.463,217843,9574.0
79.714,217843,9574.0
79.965,217843,9574.0
80.216,217843,9574.0
80.467,217843,9574.0
80.718,217843,9574.0
80.969,217843,9574.0
81.22,217843,9574.0
81.471,217843,9574.0
81.722,217843,9574.0
81.973,217843,9574.0
82.224,217843,9574.0
82.475,217843,9574.0
82.727,217843,9574.0
82.978,217843,9574.0
83.23,217843,9574.0
83.481,217843,9574.0
83.732,217843,9574.0
83.983,217843,9574.0
84.234,217843,9574.0
84.485,217843,9574.0
84.736,217843,9574.0
84.987,217843,9574.0
85.237,217843,9574.0
85.488,217843,9574.0
85.739,217843,9574.0
85.991,217843,9574.0
86.242,217843,9574.0
86.493,217843,9574.0
86.744,217843,9574.0
86.995,217843,338.0
87.246,217843,338.0
87.498,217843,338.0
87.748,217843,338.0
