2026-09-22 15:18:57.029703639 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer ReshapeFusion modified: 0 with status: OK
2026-09-22 15:18:57.029705385 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer FreeDimensionOverrideTransformer on step 1.
2026-09-22 15:18:57.029710493 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer FreeDimensionOverrideTransformer modified: 0 with status: OK
2026-09-22 15:18:57.029712518 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer SliceConcatToSpaceToDepthFusion on step 1.
2026-09-22 15:18:57.029717670 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer SliceConcatToSpaceToDepthFusion modified: 0 with status: OK
2026-09-22 15:18:57.029719396 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer GeluFusionL1 on step 1.
2026-09-22 15:18:57.029724351 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer GeluFusionL1 modified: 0 with status: OK
2026-09-22 15:18:57.029726773 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer LayerNormFusionL1 on step 1.
2026-09-22 15:18:57.029730745 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer LayerNormFusionL1 modified: 0 with status: OK
2026-09-22 15:18:57.029732424 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer QDQPropagationTransformer on step 1.
2026-09-22 15:18:57.029735952 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer QDQPropagationTransformer modified: 0 with status: OK
2026-09-22 15:18:57.029738274 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer WeightBiasQuantization on step 1.
2026-09-22 15:18:57.029741009 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer WeightBiasQuantization modified: 0 with status: OK
2026-09-22 15:18:57.029744729 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer EnsureUniqueDQForNodeUnit on step 1.
2026-09-22 15:18:57.029746966 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer EnsureUniqueDQForNodeUnit modified: 0 with status: OK
2026-09-22 15:18:57.029748701 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer WhereDummyDq on step 1.
2026-09-22 15:18:57.029751097 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer WhereDummyDq modified: 0 with status: OK
2026-09-22 15:18:57.029752950 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer TransposeOptimizer on step 1.
2026-09-22 15:18:57.029772241 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer TransposeOptimizer modified: 0 with status: OK
2026-09-22 15:18:57.029774612 [V:onnxruntime:, graph_transformer_mgr.cc:62 ApplyTransformers] Graph transformer step 1 of 10 for level 1 completed. graph_changed: 0.
2026-09-22 15:18:57.029776923 [V:onnxruntime:, graph_transformer_mgr.cc:67 ApplyTransformers] Stopping graph transformer iteration for level 1 after step 1 because the graph was not modified.
2026-09-22 15:18:57.029887873 [I:onnxruntime:, inference_session.cc:1922 TransformGraph] Running graph optimizations in loop 1 time/s (Graph Optimizations Loop Level : 1)
2026-09-22 15:18:57.029890416 [V:onnxruntime:, graph_transformer_mgr.cc:35 ApplyTransformers] Applying 30 graph transformer(s) for level 2 for up to 10 step(s).
2026-09-22 15:18:57.029892237 [V:onnxruntime:, graph_transformer_mgr.cc:43 ApplyTransformers] Graph transformer step 1 of 10 for level 2 started.
2026-09-22 15:18:57.029894375 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer Level2_RuleBasedTransformer on step 1.
2026-09-22 15:18:57.029896918 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer Level2_RuleBasedTransformer modified: 0 with status: OK
2026-09-22 15:18:57.029898681 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer TransposeOptimizer_CPUExecutionProvider on step 1.
2026-09-22 15:18:57.029903393 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer TransposeOptimizer_CPUExecutionProvider modified: 0 with status: OK
2026-09-22 15:18:57.029905630 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer QDQS8ToU8Transformer on step 1.
2026-09-22 15:18:57.029908630 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer QDQS8ToU8Transformer modified: 0 with status: OK
2026-09-22 15:18:57.029910853 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer QDQSelectorActionTransformer on step 1.
2026-09-22 15:18:57.029921675 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer QDQSelectorActionTransformer modified: 0 with status: OK
2026-09-22 15:18:57.029924788 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer GemmActivationFusion on step 1.
2026-09-22 15:18:57.029927854 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer GemmActivationFusion modified: 0 with status: OK
2026-09-22 15:18:57.029929753 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer MatMulIntegerToFloatFusion on step 1.
2026-09-22 15:18:57.029932732 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer MatMulIntegerToFloatFusion modified: 0 with status: OK
2026-09-22 15:18:57.029934852 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer DynamicQuantizeMatMulFusion on step 1.
2026-09-22 15:18:57.029938742 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer DynamicQuantizeMatMulFusion modified: 0 with status: OK
