seconds,pid,gpu_memory_mib
2.819,273823,104.0
3.072,273823,104.0
3.325,273823,104.0
3.576,273823,382.0
3.828,273823,638.0
4.079,273823,1150.0
4.33,273823,2174.0
4.581,273823,2194.0
4.834,273823,208.0
5.086,273823,208.0
5.337,273823,208.0
5.588,273823,208.0
5.839,273823,208.0
6.091,273823,208.0
6.344,273823,208.0
6.594,273823,284.0
6.847,273823,732.0
7.098,273823,1244.0
7.35,273823,2280.0
7.602,273823,2280.0
7.853,273823,2546.0
8.104,273823,3852.0
8.355,273823,3852.0
8.605,273823,3852.0
8.856,273823,3918.0
9.107,273823,5478.0
9.358,273823,7532.0
9.609,273823,9580.0
9.86,273823,9580.0
10.111,273823,9580.0
10.362,273823,9580.0
10.613,273823,9580.0
10.864,273823,9580.0
11.115,273823,9580.0
11.366,273823,9580.0
11.617,273823,9580.0
11.868,273823,9580.0
12.118,273823,9580.0
12.369,273823,9580.0
12.622,273823,9580.0
12.873,273823,9580.0
13.125,273823,9580.0
13.375,273823,9580.0
13.626,273823,9580.0
13.877,273823,9580.0
14.128,273823,9580.0
14.379,273823,9580.0
14.63,273823,9580.0
14.881,273823,9580.0
15.132,273823,9580.0
15.383,273823,9580.0
15.634,273823,9580.0
15.885,273823,9580.0
16.136,273823,9580.0
16.387,273823,9580.0
16.638,273823,9580.0
16.889,273823,9580.0
17.14,273823,9580.0
17.391,273823,9580.0
17.642,273823,9580.0
17.893,273823,9580.0
18.144,273823,9580.0
18.395,273823,9580.0
18.646,273823,9580.0
18.897,273823,9580.0
19.147,273823,9580.0
19.398,273823,9580.0
19.651,273823,9580.0
19.902,273823,9580.0
20.153,273823,9580.0
20.404,273823,9580.0
20.655,273823,9580.0
20.906,273823,9580.0
21.157,273823,9580.0
21.408,273823,9580.0
21.659,273823,9580.0
21.91,273823,9580.0
22.161,273823,9580.0
22.412,273823,9580.0
22.663,273823,9580.0
22.915,273823,9580.0
23.166,273823,9580.0
23.417,273823,9580.0
23.668,273823,9580.0
23.919,273823,9580.0
24.17,273823,9580.0
24.422,273823,9580.0
24.673,273823,9580.0
24.924,273823,9580.0
25.175,273823,9580.0
25.426,273823,9580.0
25.678,273823,9580.0
25.929,273823,9580.0
26.18,273823,9580.0
26.431,273823,9580.0
26.682,273823,9580.0
26.934,273823,9580.0
27.185,273823,9580.0
27.436,273823,9580.0
27.688,273823,9580.0
27.939,273823,9580.0
28.19,273823,9580.0
28.441,273823,9580.0
28.692,273823,9580.0
28.944,273823,9580.0
29.195,273823,9580.0
29.446,273823,9580.0
29.696,273823,9580.0
29.948,273823,9580.0
30.199,273823,9580.0
30.45,273823,9580.0
30.701,273823,9580.0
30.952,273823,9580.0
31.203,273823,9580.0
31.454,273823,9580.0
31.704,273823,9580.0
31.955,273823,9580.0
32.206,273823,9580.0
32.457,273823,9580.0
32.708,273823,9580.0
32.959,273823,9580.0
33.211,273823,9580.0
33.462,273823,9580.0
33.713,273823,9580.0
33.964,273823,9580.0
34.217,273823,9580.0
34.468,273823,9580.0
34.718,273823,9580.0
34.969,273823,9580.0
35.22,273823,9580.0
35.471,273823,9580.0
35.721,273823,9580.0
35.972,273823,9580.0
36.223,273823,9580.0
36.474,273823,9580.0
36.725,273823,9580.0
36.978,273823,9580.0
37.229,273823,9580.0
37.48,273823,9580.0
37.732,273823,9580.0
37.983,273823,9580.0
38.234,273823,9580.0
38.485,273823,9580.0
38.736,273823,9580.0
38.987,273823,9580.0
39.237,273823,9580.0
39.488,273823,9580.0
39.739,273823,9580.0
39.99,273823,9580.0
40.241,273823,9580.0
40.492,273823,9580.0
40.743,273823,9580.0
40.994,273823,9580.0
41.244,273823,9580.0
41.495,273823,9580.0
41.746,273823,9580.0
41.997,273823,9580.0
42.248,273823,9580.0
42.499,273823,9580.0
42.75,273823,9580.0
43.001,273823,9580.0
43.252,273823,9580.0
43.502,273823,9580.0
43.753,273823,9580.0
44.004,273823,9580.0
44.256,273823,9580.0
44.507,273823,9580.0
44.758,273823,9580.0
45.008,273823,9580.0
45.26,273823,9580.0
45.511,273823,9580.0
45.761,273823,9580.0
46.012,273823,9580.0
46.263,273823,9580.0
46.514,273823,9580.0
46.765,273823,9580.0
47.016,273823,9580.0
47.266,273823,9580.0
47.52,273823,9580.0
47.771,273823,9580.0
48.022,273823,9580.0
48.272,273823,9580.0
48.523,273823,9580.0
48.774,273823,9580.0
49.025,273823,9580.0
49.276,273823,9580.0
49.526,273823,9580.0
49.777,273823,9580.0
50.028,273823,9580.0
50.279,273823,9580.0
50.53,273823,9580.0
50.781,273823,9580.0
51.031,273823,9580.0
51.282,273823,9580.0
51.533,273823,9580.0
51.784,273823,9580.0
52.035,273823,9580.0
52.286,273823,9580.0
52.537,273823,9580.0
52.788,273823,9580.0
53.039,273823,9580.0
53.29,273823,9580.0
53.541,273823,9580.0
53.792,273823,9580.0
54.043,273823,9580.0
54.293,273823,9580.0
54.544,273823,9580.0
54.795,273823,9580.0
55.046,273823,9580.0
55.299,273823,9580.0
55.55,273823,9580.0
55.801,273823,9580.0
56.052,273823,9580.0
56.303,273823,9580.0
56.554,273823,9580.0
56.805,273823,9580.0
57.055,273823,9580.0
57.307,273823,9580.0
57.558,273823,9580.0
57.809,273823,9580.0
58.059,273823,9580.0
58.31,273823,9580.0
58.561,273823,9580.0
58.812,273823,9580.0
59.063,273823,9580.0
59.314,273823,9580.0
