seconds,pid,gpu_memory_mib
2.892,272077,104.0
3.144,272077,104.0
3.395,272077,104.0
3.646,272077,634.0
3.897,272077,1146.0
4.148,272077,1146.0
4.399,272077,2170.0
4.653,272077,144.0
4.905,272077,144.0
5.156,272077,144.0
5.407,272077,144.0
5.658,272077,144.0
5.909,272077,144.0
6.162,272077,144.0
6.413,272077,144.0
6.665,272077,418.0
6.916,272077,674.0
7.167,272077,1186.0
7.42,272077,2220.0
7.671,272077,2220.0
7.923,272077,2742.0
8.175,272077,3772.0
8.426,272077,3772.0
8.677,272077,3772.0
8.929,272077,3774.0
9.179,272077,7360.0
9.431,272077,7366.0
9.682,272077,9178.0
9.933,272077,9178.0
10.184,272077,9178.0
10.435,272077,9178.0
10.686,272077,9210.0
10.936,272077,9210.0
11.187,272077,9210.0
11.438,272077,9210.0
11.689,272077,9210.0
11.94,272077,9210.0
12.191,272077,9210.0
12.442,272077,9210.0
12.693,272077,9210.0
12.944,272077,9210.0
13.195,272077,9210.0
13.446,272077,9210.0
13.697,272077,9210.0
13.947,272077,9210.0
14.198,272077,9210.0
14.449,272077,9210.0
14.7,272077,9210.0
14.951,272077,9210.0
15.202,272077,9210.0
15.452,272077,9210.0
15.703,272077,9210.0
15.954,272077,9210.0
16.205,272077,9210.0
16.456,272077,9210.0
16.707,272077,9210.0
16.959,272077,9210.0
17.21,272077,9210.0
17.461,272077,9210.0
17.712,272077,9210.0
17.963,272077,9210.0
18.217,272077,9210.0
18.468,272077,9210.0
18.719,272077,9210.0
18.971,272077,9210.0
19.222,272077,9210.0
19.474,272077,9210.0
19.725,272077,9210.0
19.976,272077,9210.0
20.227,272077,9210.0
20.478,272077,9210.0
20.728,272077,9210.0
20.979,272077,9210.0
21.23,272077,9210.0
21.481,272077,9210.0
21.732,272077,9210.0
21.983,272077,9210.0
22.234,272077,9210.0
22.484,272077,9210.0
22.735,272077,9210.0
22.987,272077,9210.0
23.238,272077,9210.0
23.489,272077,9210.0
23.74,272077,9210.0
23.991,272077,9210.0
24.242,272077,9210.0
24.493,272077,9210.0
24.743,272077,9210.0
24.995,272077,9210.0
25.246,272077,9210.0
25.497,272077,9210.0
25.748,272077,9210.0
25.998,272077,9210.0
26.249,272077,9210.0
26.5,272077,9210.0
26.751,272077,9210.0
27.002,272077,9210.0
27.253,272077,9210.0
27.504,272077,9210.0
27.755,272077,9210.0
28.005,272077,9210.0
28.256,272077,9210.0
28.507,272077,9210.0
28.758,272077,9210.0
29.009,272077,9210.0
29.26,272077,9210.0
29.511,272077,9210.0
29.761,272077,9210.0
30.012,272077,9210.0
30.263,272077,9210.0
30.514,272077,9210.0
30.765,272077,9210.0
31.016,272077,9210.0
31.266,272077,9210.0
31.517,272077,9210.0
31.768,272077,9210.0
32.019,272077,9210.0
32.27,272077,9210.0
32.521,272077,9210.0
32.774,272077,9210.0
33.025,272077,9210.0
33.276,272077,9210.0
33.527,272077,9210.0
33.778,272077,9210.0
34.029,272077,9210.0
34.279,272077,9210.0
34.53,272077,9210.0
34.781,272077,9210.0
35.032,272077,9210.0
35.285,272077,9210.0
35.535,272077,9210.0
35.786,272077,9210.0
36.037,272077,9210.0
36.288,272077,9210.0
36.539,272077,9210.0
36.79,272077,9210.0
37.041,272077,9210.0
37.293,272077,9210.0
37.544,272077,9210.0
37.795,272077,9210.0
38.046,272077,9210.0
38.297,272077,9210.0
38.548,272077,9210.0
38.798,272077,9210.0
39.049,272077,9210.0
39.3,272077,9210.0
39.551,272077,9210.0
39.802,272077,9210.0
40.053,272077,9210.0
40.304,272077,9210.0
40.555,272077,9210.0
40.806,272077,9210.0
41.057,272077,9210.0
41.308,272077,9210.0
41.559,272077,9210.0
41.809,272077,9210.0
42.06,272077,9210.0
42.311,272077,9210.0
42.562,272077,9210.0
42.813,272077,9210.0
43.064,272077,9210.0
43.314,272077,9210.0
43.565,272077,9210.0
43.816,272077,9210.0
44.067,272077,9210.0
44.318,272077,9210.0
44.569,272077,9210.0
44.82,272077,9210.0
45.071,272077,9210.0
45.322,272077,9210.0
45.572,272077,9210.0
45.823,272077,9210.0
46.075,272077,9210.0
46.326,272077,9210.0
46.579,272077,9210.0
46.83,272077,9210.0
47.081,272077,9210.0
47.332,272077,9210.0
47.583,272077,9210.0
47.834,272077,9210.0
48.085,272077,9210.0
48.336,272077,9210.0
48.587,272077,9210.0
48.838,272077,9210.0
49.088,272077,9210.0
49.339,272077,9210.0
49.59,272077,9210.0
49.841,272077,9210.0
50.092,272077,9210.0
50.343,272077,9210.0
50.594,272077,9210.0
50.846,272077,9210.0
51.098,272077,9210.0
51.348,272077,9210.0
51.599,272077,9210.0
51.85,272077,9210.0
52.101,272077,9210.0
52.352,272077,9210.0
52.603,272077,9210.0
52.854,272077,9210.0
53.104,272077,9210.0
53.355,272077,9210.0
53.606,272077,9210.0
53.857,272077,9210.0
54.11,272077,9210.0
54.361,272077,9210.0
54.612,272077,9210.0
54.863,272077,9210.0
55.114,272077,9210.0
55.364,272077,9210.0
55.615,272077,9210.0
55.866,272077,9210.0
56.117,272077,9210.0
56.371,272077,9210.0
56.622,272077,9210.0
56.873,272077,9210.0
57.123,272077,9210.0
57.374,272077,9210.0
57.625,272077,9210.0
57.876,272077,9210.0
58.127,272077,9210.0
58.378,272077,9210.0
58.629,272077,9210.0
58.88,272077,9210.0
59.13,272077,9210.0
59.382,272077,9210.0
59.634,272077,9210.0
59.884,272077,9210.0
60.135,272077,9210.0
60.386,272077,9210.0
60.637,272077,9210.0
60.888,272077,9210.0
61.139,272077,9210.0
61.39,272077,9210.0
61.641,272077,9210.0
61.891,272077,9210.0
62.142,272077,9210.0
62.393,272077,9210.0
62.644,272077,9210.0
62.895,272077,9210.0
63.146,272077,9210.0
63.397,272077,9210.0
63.648,272077,9210.0
63.899,272077,9210.0
64.15,272077,9210.0
64.401,272077,9210.0
64.652,272077,9210.0
64.902,272077,9210.0
65.153,272077,9210.0
65.404,272077,9210.0
65.655,272077,9210.0
65.906,272077,9210.0
66.157,272077,9210.0
66.409,272077,9210.0
66.66,272077,9210.0
66.912,272077,9210.0
67.163,272077,9210.0
67.413,272077,9210.0
67.664,272077,9210.0
67.916,272077,9210.0
68.166,272077,9210.0
68.417,272077,9210.0
68.668,272077,9210.0
68.919,272077,9210.0
69.17,272077,9210.0
69.421,272077,9210.0
69.673,272077,9210.0
69.924,272077,9210.0
70.175,272077,9210.0
70.426,272077,9210.0
70.677,272077,9210.0
70.928,272077,9210.0
71.179,272077,9210.0
71.43,272077,9210.0
71.681,272077,9210.0
71.932,272077,9210.0
72.182,272077,9210.0
72.434,272077,9210.0
72.685,272077,9210.0
72.936,272077,9210.0
73.186,272077,9210.0
73.437,272077,9210.0
73.688,272077,9210.0
73.939,272077,9210.0
74.19,272077,9210.0
74.44,272077,9210.0
74.691,272077,9210.0
74.942,272077,9210.0
75.193,272077,9210.0
75.444,272077,9210.0
75.695,272077,9210.0
75.946,272077,9210.0
76.196,272077,9210.0
76.447,272077,9210.0
76.698,272077,9210.0
76.949,272077,9210.0
77.2,272077,9210.0
77.452,272077,9210.0
77.703,272077,9210.0
77.954,272077,9210.0
78.205,272077,9210.0
78.456,272077,9210.0
78.707,272077,9210.0
78.958,272077,9210.0
79.209,272077,9210.0
79.46,272077,9210.0
79.714,272077,9210.0
79.965,272077,9210.0
80.216,272077,9210.0
80.467,272077,9210.0
80.718,272077,9210.0
80.97,272077,9210.0
81.22,272077,9210.0
81.471,272077,9210.0
